代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
002915,中欣氟材,2022-04-19,16.529,2022-04-22,15.349,2700,-3228.87,-7.2313%,3,止损
300248,新开普,2022-04-19,10.736,2022-04-22,9.756,100,-108.02,-10.0149%,3,止损
300274,阳光电源,2022-04-19,59.096,2022-04-21,45.862,8400,-111602.02,-22.4709%,2,止损
688228,开普云,2022-04-20,33.955,2022-04-25,30.923,14700,-45053.69,-9.0218%,3,止损
688778,厦钨新能,2022-04-20,39.806,2022-04-22,35.587,12500,-53204.9,-10.6875%,2,止损
000023,ST深天,2022-04-27,9.325,2022-05-05,10.345,53600,54153.7,10.8296%,3,止盈
002609,捷顺科技,2022-04-27,6.044,2022-05-11,7.647,82700,132014.7,26.3982%,7,止盈
600812,华北制药,2022-04-27,5.458,2022-05-05,6.162,91600,63971.62,12.7898%,3,止盈
603896,寿仙谷,2022-04-27,32.842,2022-04-29,35.345,15200,37525.94,7.5134%,2,止盈
688058,宝兰德,2022-04-27,26.303,2022-05-05,29.473,19000,59702.23,11.9402%,3,止盈
000420,吉林化纤,2022-04-28,3.422,2022-05-31,4.098,146100,98249.35,19.6435%,3,止盈
000534,万泽股份,2022-04-28,8.985,2022-05-11,10.196,55600,66765.5,13.3573%,6,止盈
000838,ST发展,2022-04-28,6.243,2022-05-12,6.997,80000,59740.82,11.9554%,7,止盈
002123,梦网科技,2022-04-28,8.799,2022-05-18,9.32,56800,29074.79,5.8143%,11,到期
002372,伟星新材,2022-04-28,15.601,2022-05-17,17.054,32000,45995.02,9.2087%,10,止盈
002376,新北洋,2022-04-28,5.346,2022-05-06,5.8,73300,32901.01,8.3924%,3,止盈
300151,昌红科技,2022-04-28,14.834,2022-05-11,16.149,33700,43776.85,8.7524%,6,止盈
300465,高伟达,2022-04-28,7.704,2022-05-18,8.236,64900,34011.5,6.7992%,11,到期
300663,科蓝软件,2022-04-28,12.146,2022-05-09,13.523,41100,56073.98,11.2271%,4,止盈
600966,博汇纸业,2022-04-28,6.444,2022-05-10,7.547,77500,84940.64,16.9991%,5,止盈
603106,恒银科技,2022-04-28,4.442,2022-05-18,4.818,112500,41708.26,8.3417%,11,到期
688628,优利德,2022-04-29,18.634,2022-05-11,21.014,26800,63257.4,12.6604%,5,止盈
688619,罗普特,2022-05-05,12.199,2022-05-16,13.346,40900,46399.18,9.2948%,7,止盈
002620,ST瑞和,2022-06-07,5.693,2022-06-10,5.257,87800,-38715.42,-7.7418%,3,止损
