序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
7481,300460,ST惠伦,2023-06-30,10.995,2023-07-06,12.604,14.5114%,14.6260%,4,止盈
7482,300460,ST惠伦,2024-07-26,8.804,2024-08-06,8.396,-4.7362%,-4.6409%,7,止损
7483,300460,ST惠伦,2024-08-23,10.275,2024-08-28,11.294,9.8093%,9.9192%,3,止盈
7484,300461,田中精机,2024-06-25,15.808,2024-06-28,18.631,17.7389%,17.8568%,3,止盈
7485,300461,田中精机,2024-07-05,18.549,2024-07-09,16.012,-13.7649%,-13.6786%,2,止损
7486,300461,田中精机,2024-08-28,18.559,2024-09-09,17.351,-6.6021%,-6.5086%,8,止损
7487,300462,ST华铭,2021-09-13,12.551,2021-09-24,13.998,11.4150%,11.5265%,7,止盈
7488,300462,ST华铭,2024-08-05,10.705,2024-08-09,10.025,-6.4490%,-6.3554%,4,止损
7489,300463,迈克生物,2026-01-30,12.286,2026-02-24,11.744,-4.5072%,-4.4116%,11,到期
7490,300464,星徽股份,2021-12-06,9.035,2021-12-21,8.366,-7.4942%,-7.4016%,11,止损
7491,300464,星徽股份,2024-06-03,4.272,2024-06-05,3.598,-15.8593%,-15.7751%,2,止损
7492,300464,星徽股份,2024-12-05,6.313,2024-12-12,7.086,12.1368%,12.2490%,5,止盈
7493,300465,高伟达,2024-08-23,7.214,2024-09-09,7.356,1.8765%,1.9784%,11,到期
7494,300465,高伟达,2024-11-14,16.128,2024-11-18,14.893,-7.7529%,-7.6606%,2,止损
7495,300465,高伟达,2025-09-05,24.172,2025-09-22,25.507,5.4181%,5.5236%,11,到期
7496,300466,赛摩智能,2021-12-24,7.164,2022-01-11,6.937,-3.2663%,-3.1695%,11,到期
7497,300466,赛摩智能,2023-05-31,6.773,2023-06-15,6.717,-0.9369%,-0.8378%,11,到期
7498,300466,赛摩智能,2025-04-21,10.415,2025-04-23,12.254,17.5360%,17.6537%,2,止盈
7499,300467,迅游科技,2022-01-25,17.459,2022-01-27,15.982,-8.5499%,-8.4583%,2,止损
7500,300467,迅游科技,2022-02-28,16.308,2022-03-08,15.432,-5.4654%,-5.3708%,6,止损
7501,300469,信息发展,2021-12-03,16.918,2021-12-10,15.552,-8.1673%,-8.0754%,5,止损
7502,300469,信息发展,2026-07-16,54.037,2026-07-21,44.428,-17.8649%,-17.7827%,3,止损
7503,300471,厚普股份,2021-08-23,28.224,2021-08-30,28.806,1.9582%,2.0602%,5,止盈
7504,300471,厚普股份,2024-03-07,11.406,2024-03-22,12.294,7.6791%,7.7869%,11,到期
7505,300472,ST新元,2024-08-13,4.822,2024-08-16,6.907,43.0745%,43.2177%,3,止盈
7506,300472,ST新元,2024-08-22,5.353,2024-08-30,5.987,11.7389%,11.8507%,6,止盈
7507,300472,ST新元,2024-11-01,8.654,2024-11-18,7.946,-8.2761%,-8.1843%,11,止损
7508,300473,德尔股份,2024-09-11,16.998,2024-09-18,15.852,-6.8375%,-6.7443%,3,止损
7509,300473,德尔股份,2024-11-27,23.482,2024-11-29,25.177,7.1140%,7.2212%,2,止盈
7510,300473,德尔股份,2025-03-10,30.815,2025-03-24,28.636,-7.1664%,-7.0735%,10,止损
7511,300474,景嘉微,2024-10-14,78.299,2024-10-16,81.889,4.4803%,4.5849%,2,止盈
7512,300475,香农芯创,2024-10-14,29.87,2024-10-21,33.308,11.3998%,11.5113%,5,止盈
7513,300476,胜宏科技,2024-10-14,38.526,2024-10-21,47.933,24.2921%,24.4165%,5,止盈
7514,300477,ST合纵,2024-04-11,3.502,2024-04-15,3.148,-10.1798%,-10.0900%,2,止损
7515,300477,ST合纵,2024-04-18,3.102,2024-04-23,2.749,-11.4676%,-11.3790%,3,止损
7516,300477,ST合纵,2024-04-24,2.691,2024-04-30,3.038,12.7853%,12.8982%,4,止盈
7517,300477,ST合纵,2024-05-15,3.202,2024-05-30,2.949,-7.9967%,-7.9046%,11,止损
7518,300477,ST合纵,2025-04-01,3.162,2025-04-08,2.479,-21.6758%,-21.5974%,4,止损
