日期,权益
2023-09-25,5865402.94
2023-09-26,5644685.79
2023-09-27,5607418.52
2023-09-28,5574342.26
2023-10-09,5508216.65
2023-10-10,5485751.17
2023-10-11,5523236.75
2023-10-12,5588845.42
2023-10-13,5688236.21
2023-10-16,5801911.28
2023-10-17,5722718.73
2023-10-18,5774248.63
2023-10-19,5538033.31
2023-10-20,5553548.00
2023-10-23,5682264.31
2023-10-24,5644800.85
2023-10-25,5675582.29
2023-10-26,5758526.19
2023-10-27,5811478.00
2023-10-30,5852757.70
2023-10-31,5719894.27
2023-11-01,5728046.16
2023-11-02,5549937.81
2023-11-03,5555840.55
2023-11-06,5598996.39
2023-11-07,5657058.36
2023-11-08,5621727.47
2023-11-09,5539653.65
2023-11-10,5496126.67
2023-11-13,5538827.07
2023-11-14,5523420.63
2023-11-15,5543337.42
2023-11-16,5478021.15
2023-11-17,5551114.75
2023-11-20,5594594.50
2023-11-21,5443107.44
2023-11-22,5349224.95
2023-11-23,5381953.08
2023-11-24,5348880.94
2023-11-27,5340842.11
2023-11-28,5383598.87
2023-11-29,5334517.37
2023-11-30,5302166.48
2023-12-01,5254480.38
2023-12-04,5261078.38
2023-12-05,5225834.89
2023-12-06,5271334.24
2023-12-07,5228783.73
2023-12-08,5076796.41
2023-12-11,5133187.46
2023-12-12,5223042.85
2023-12-13,5144561.62
2023-12-14,5129637.65
2023-12-15,5028234.38
2023-12-18,4832273.19
2023-12-19,4765110.31
2023-12-20,4683190.37
2023-12-21,4681963.51
2023-12-22,4674892.96
2023-12-25,4565044.37
2023-12-26,4561074.46
2023-12-27,4592973.34
2023-12-28,4639922.40
2023-12-29,4626084.21
2024-01-02,4621897.76
2024-01-03,4599817.76
2024-01-04,4532247.46
2024-01-05,4438565.55
2024-01-08,4302297.22
2024-01-09,4253290.87
2024-01-10,4226109.78
2024-01-11,4306609.68
2024-01-12,4256351.32
2024-01-15,4254958.58
2024-01-16,4171690.16
2024-01-17,4061553.03
2024-01-18,4037696.94
2024-01-19,3965006.23
2024-01-22,3749772.47
