日期,权益
2023-09-13,8794430.08
2023-09-14,8778269.45
2023-09-15,8765379.03
2023-09-18,8820687.47
2023-09-19,8755228.98
2023-09-20,8690403.20
2023-09-21,8676834.69
2023-09-22,8865716.29
2023-09-25,8769659.99
2023-09-26,8734521.49
2023-09-27,8764466.46
2023-09-28,8797204.06
2023-10-09,8673847.20
2023-10-10,8649195.29
2023-10-11,8647605.44
2023-10-12,8670570.18
2023-10-13,8624281.43
2023-10-16,8583711.73
2023-10-17,8570876.81
2023-10-18,8428741.60
2023-10-19,8388809.09
2023-10-20,8247363.96
2023-10-23,8102434.29
2023-10-24,8236637.85
2023-10-25,8279031.06
2023-10-26,8337924.66
2023-10-27,8503898.58
2023-10-30,8550464.35
2023-10-31,8495189.52
2023-11-01,8500113.83
2023-11-02,8390367.92
2023-11-03,8451458.67
2023-11-06,8572053.99
2023-11-07,8652313.91
2023-11-08,8636850.11
2023-11-09,8644025.51
2023-11-10,8624796.12
2023-11-13,8614896.12
2023-11-14,8610213.59
2023-11-15,8610293.59
2023-11-16,8583299.63
2023-11-17,8593533.83
2023-11-20,8563652.62
2023-11-21,8524349.45
2023-11-22,8480234.27
2023-11-23,8549380.37
2023-11-24,8505317.02
2023-11-27,8483495.59
2023-11-28,8509456.74
2023-11-29,8484629.40
2023-11-30,8442670.90
2023-12-01,8426433.82
2023-12-04,8443313.51
2023-12-05,8371351.52
2023-12-06,8373400.57
2023-12-07,8302645.64
2023-12-08,8322438.76
2023-12-11,8383127.16
2023-12-12,8395309.09
2023-12-13,8237106.12
2023-12-14,8239432.72
2023-12-15,8218878.43
2023-12-18,8114659.30
2023-12-19,8148112.85
2023-12-20,8060955.99
2023-12-21,8105846.68
2023-12-22,8028950.11
2023-12-25,8016187.19
2023-12-26,7873148.99
2023-12-27,7850013.55
2023-12-28,8073358.17
2023-12-29,8153581.17
2024-01-02,8188693.86
2024-01-03,8183686.86
2024-01-04,8172779.06
2024-01-05,8083966.79
2024-01-08,7992895.29
2024-01-09,8006169.93
2024-01-10,7967657.85
2024-01-11,7996818.40
2024-01-12,7948698.38
2024-01-15,7960691.57
2024-01-16,7939783.97
2024-01-17,7743545.99
2024-01-18,7767416.04
2024-01-19,7628525.59
2024-01-22,7241364.76
2024-01-23,7234071.95
2024-01-24,7314013.33
2024-01-25,7627440.83
2024-01-26,7512308.59
2024-01-29,7320398.90
2024-01-30,7187916.35
2024-01-31,6897087.86
2024-02-01,6823976.14
2024-02-02,6762654.40
2024-02-05,6734315.86
2024-02-06,6906342.03
2024-02-07,6717861.68
2024-02-08,7263028.83
2024-02-19,7728642.53
2024-02-20,7923677.61
2024-02-21,7887548.00
2024-02-22,7932901.19
2024-02-23,7947155.52
2024-02-26,7945537.18
2024-02-27,7945537.18
2024-02-28,7945537.18
2024-02-29,7945537.18
2024-03-01,7945537.18
2024-03-04,7945537.18
2024-03-05,7945537.18
2024-03-06,7945537.18
2024-03-07,7945537.18
2024-03-08,7945537.18
2024-03-11,7945537.18
2024-03-12,7945537.18
2024-03-13,7945537.18
2024-03-14,7945537.18
2024-03-15,7945537.18
2024-03-18,7945537.18
2024-03-19,7945537.18
2024-03-20,7945537.18
2024-03-21,7945537.18
2024-03-22,7945537.18
2024-03-25,7945537.18
2024-03-26,7945537.18
2024-03-27,7924733.47
2024-03-28,7926341.94
2024-03-29,7949316.59
2024-04-01,8023688.12
2024-04-02,7976470.07
2024-04-03,7954967.07
2024-04-08,7922065.93
2024-04-09,7948776.22
2024-04-10,7910913.99
2024-04-11,7873823.99
2024-04-12,7843358.09
2024-04-15,7870032.09
2024-04-16,7836729.63
2024-04-17,7840369.63
2024-04-18,7797489.95
2024-04-19,7728981.15
2024-04-22,7750339.13
2024-04-23,7839330.68
2024-04-24,8050489.28
2024-04-25,8054961.44
2024-04-26,8166593.87
2024-04-29,8217762.00
2024-04-30,8200552.20
2024-05-06,8218145.20
2024-05-07,8230784.20
2024-05-08,8228937.14
2024-05-09,8228937.14
2024-05-10,8228937.14
2024-05-13,8228937.14
2024-05-14,8228937.14
2024-05-15,8228937.14
2024-05-16,8228937.14
