序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
11985,688580,伟思医疗,2023-04-27,53.081,2023-05-10,48.523,-8.6780%,-8.5866%,6,止损
11986,688580,伟思医疗,2025-04-03,41.44,2025-04-08,36.101,-12.9703%,-12.8832%,2,止损
11987,688581,安杰思,2024-01-02,85.908,2024-01-10,79.548,-7.4955%,-7.4030%,6,信号
11988,688582,芯动联科,2024-11-12,55.5,2024-11-15,50.447,-9.1954%,-9.1045%,3,止损
11989,688583,思看科技,2026-01-06,74.701,2026-01-27,70.851,-5.2497%,-5.1549%,15,信号
11990,688584,上海合晶,2024-11-11,21.322,2024-11-25,20.621,-3.3843%,-3.2876%,10,信号
11991,688585,上纬新材,2021-08-25,12.183,2021-09-01,11.601,-4.8714%,-4.7762%,5,信号
11992,688585,上纬新材,2022-06-28,9.782,2022-07-05,9.082,-7.2431%,-7.1503%,5,止损
11993,688585,上纬新材,2022-07-20,10.422,2022-08-23,10.812,3.6324%,3.7361%,24,信号
11994,688585,上纬新材,2025-09-25,116.058,2025-10-14,86.957,-25.1499%,-25.0750%,2,止损
11995,688586,江航装备,2022-06-27,12.657,2022-07-13,12.517,-1.2096%,-1.1107%,12,信号
11996,688588,凌志软件,2023-02-16,12.339,2023-02-20,11.247,-8.9393%,-8.8482%,2,止损
11997,688588,凌志软件,2025-08-18,16.478,2025-09-05,17.841,8.1623%,8.2705%,14,信号
11998,688589,力合微,2021-12-17,49.613,2021-12-24,46.611,-6.1450%,-6.0511%,5,信号
11999,688590,新致软件,2022-08-08,11.468,2022-08-25,11.146,-2.8990%,-2.8018%,13,信号
12000,688590,新致软件,2023-02-23,12.658,2023-02-27,11.626,-8.2457%,-8.1539%,2,止损
12001,688590,新致软件,2024-11-25,18.25,2024-11-27,16.123,-11.7441%,-11.6557%,2,止损
12002,688590,新致软件,2025-08-19,26.488,2025-08-21,24.383,-8.0406%,-7.9486%,2,止损
12003,688592,司南导航,2025-08-28,33.908,2025-09-05,31.228,-7.9946%,-7.9025%,6,信号
12004,688593,新相微,2024-11-01,23.967,2024-11-15,23.643,-1.4497%,-1.3510%,10,信号
12005,688593,新相微,2025-09-15,23.767,2025-09-30,21.964,-7.6780%,-7.5856%,11,信号
12006,688595,芯海科技,2025-03-07,42.631,2025-03-21,43.778,2.5874%,2.6900%,10,信号
12007,688596,正帆科技,2021-08-27,25.129,2021-09-06,21.695,-13.7497%,-13.6634%,6,止损
12008,688597,煜邦电力,2022-06-24,8.532,2022-06-30,7.794,-8.7428%,-8.6514%,4,止损
12009,688597,煜邦电力,2025-08-08,8.404,2025-08-28,8.346,-0.7939%,-0.6946%,14,信号
12010,688597,煜邦电力,2025-11-06,9.555,2025-11-19,9.205,-3.7529%,-3.6566%,9,信号
12011,688598,金博股份,2021-08-26,165.726,2021-09-10,181.146,9.1956%,9.3049%,11,信号
12012,688599,天合光能,2025-09-08,18.219,2025-09-17,16.892,-7.3793%,-7.2866%,7,信号
12013,688599,天合光能,2026-01-26,22.011,2026-01-29,19.69,-10.6335%,-10.5440%,3,止损
12014,688600,皖仪科技,2024-12-09,16.329,2024-12-18,14.264,-12.7352%,-12.6479%,7,止损
12015,688600,皖仪科技,2025-04-10,18.23,2025-04-28,19.011,4.1819%,4.2862%,12,信号
12016,688600,皖仪科技,2025-05-26,21.542,2025-06-05,20.511,-4.8814%,-4.7862%,7,信号
12017,688600,皖仪科技,2025-10-27,24.626,2025-11-10,24.122,-2.1460%,-2.0481%,10,信号
12018,688600,皖仪科技,2026-03-12,29.739,2026-03-16,26.181,-12.0520%,-11.9640%,2,止损
12019,688601,力芯微,2025-07-23,41.602,2025-08-12,42.69,2.5123%,2.6149%,14,信号
12020,688602,康鹏科技,2025-04-16,7.254,2025-04-30,7.646,5.3064%,5.4118%,10,信号
12021,688602,康鹏科技,2025-11-10,9.085,2025-11-24,8.696,-4.3765%,-4.2808%,10,信号
12022,688603,天承科技,2024-09-12,26.391,2024-11-19,52.455,98.5599%,98.7586%,41,信号
12023,688606,奥泰生物,2021-12-22,71.411,2022-01-06,64.789,-9.3640%,-9.2733%,10,止损
12024,688606,奥泰生物,2023-11-01,68.127,2023-11-15,66.69,-2.2078%,-2.1099%,10,信号
12025,688606,奥泰生物,2025-02-28,75.126,2025-03-14,71.192,-5.3302%,-5.2354%,10,信号
12026,688607,康众医疗,2025-07-15,20.69,2025-08-13,30.485,47.1908%,47.3381%,21,信号
12027,688607,康众医疗,2026-01-13,64.822,2026-01-15,56.652,-12.6922%,-12.6048%,2,止损
12028,688608,恒玄科技,2021-12-15,139.733,2022-01-10,144.641,3.4088%,3.5123%,17,信号
12029,688609,九联科技,2022-07-20,10.058,2022-07-26,9.288,-7.7447%,-7.6523%,4,止损
12030,688609,九联科技,2023-03-23,8.377,2023-04-19,9.308,11.0043%,11.1154%,18,信号
12031,688609,九联科技,2025-08-19,11.516,2025-09-02,11.504,-0.1998%,-0.1000%,10,信号
12032,688610,埃科光电,2024-06-14,36.622,2024-06-28,34.567,-5.7073%,-5.6130%,10,信号
12033,688610,埃科光电,2025-06-24,37.959,2025-07-09,39.32,3.4828%,3.5864%,11,信号
12034,688610,埃科光电,2026-05-20,167.083,2026-06-03,171.614,2.6089%,2.7116%,10,信号
12035,688611,杭州柯林,2022-07-15,24.25,2022-07-26,22.076,-9.0566%,-8.9656%,7,止损
12036,688611,杭州柯林,2024-10-29,28.893,2024-11-05,26.423,-8.6424%,-8.5509%,5,止损
12037,688611,杭州柯林,2025-07-30,36.818,2025-08-19,40.33,9.4276%,9.5371%,14,信号
12038,688611,杭州柯林,2025-09-18,44.012,2025-09-30,41.179,-6.5295%,-6.4360%,8,信号
12039,688612,威迈斯,2024-12-03,27.849,2024-12-12,27.361,-1.8491%,-1.7509%,7,信号
12040,688612,威迈斯,2025-07-15,28.446,2025-08-01,30.327,6.5045%,6.6111%,13,信号
12041,688612,威迈斯,2026-05-25,35.56,2026-06-01,31.956,-10.2242%,-10.1344%,5,止损
12042,688613,奥精医疗,2025-09-09,25.883,2025-09-26,25.957,0.1860%,0.2862%,13,信号
