序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1941,601872,招商轮船,2026-06-10,14.067,2026-06-16,17.511,24.3598%,24.4843%,4,止盈
1942,601872,招商轮船,2026-07-10,15.508,2026-07-17,14.093,-9.2140%,-9.1232%,5,止损
1943,601877,正泰电器,2023-03-21,25.054,2023-04-06,25.178,0.3980%,0.4985%,11,到期
1944,601881,中国银河,2026-04-29,12.451,2026-05-19,12.079,-3.0868%,-2.9898%,11,到期
1945,601882,海天精工,2023-10-25,25.683,2023-11-09,26.107,1.5497%,1.6513%,11,到期
1946,601882,海天精工,2026-06-08,20.32,2026-06-24,19.99,-1.7231%,-1.6248%,11,到期
1947,601886,江河集团,2022-08-10,6.813,2022-08-12,8.226,20.6102%,20.7309%,2,止盈
1948,601888,中国中免,2023-05-16,137.869,2023-05-19,130.085,-5.7403%,-5.6459%,3,止损
1949,601888,中国中免,2023-07-04,110.755,2023-07-19,109.685,-1.0653%,-0.9663%,11,到期
1950,601888,中国中免,2025-01-14,58.479,2025-02-06,58.351,-0.3193%,-0.2196%,11,到期
1951,601890,亚星锚链,2026-03-25,10.205,2026-04-10,10.335,1.1700%,1.2712%,11,到期
1952,601918,新集能源,2024-09-19,6.843,2024-09-25,7.646,11.6186%,11.7303%,4,止盈
1953,601919,中远海控,2025-01-15,12.496,2025-02-07,12.124,-3.0764%,-2.9794%,11,到期
1954,601958,金钼股份,2026-03-25,18.209,2026-04-10,18.971,4.0773%,4.1815%,11,到期
1955,601966,玲珑轮胎,2022-09-28,18.513,2022-09-30,17.555,-5.2697%,-5.1749%,2,止损
1956,601966,玲珑轮胎,2024-06-05,19.733,2024-06-12,18.654,-5.5635%,-5.4690%,4,止损
1957,601997,贵阳银行,2023-06-28,4.242,2023-07-13,4.328,1.9186%,2.0206%,11,到期
1958,601998,中信银行,2026-06-01,7.211,2026-06-16,7.626,5.6577%,5.7635%,11,到期
1959,603005,晶方科技,2021-12-22,33.695,2022-01-06,31.375,-6.9770%,-6.8839%,10,止损
1960,603008,ST喜临门,2023-08-17,22.101,2023-08-22,21.089,-4.6725%,-4.5771%,3,止损
1961,603010,万盛股份,2023-12-28,10.145,2024-01-15,10.215,0.5876%,0.6882%,11,到期
1962,603010,万盛股份,2026-06-12,13.947,2026-06-26,15.782,13.0448%,13.1579%,9,止盈
1963,603011,合锻智能,2024-01-24,6.193,2024-02-01,5.577,-10.0347%,-9.9447%,6,止损
1964,603012,创力集团,2021-12-16,5.523,2021-12-31,5.677,2.6929%,2.7957%,11,到期
1965,603013,亚普股份,2025-11-25,20.91,2025-12-10,21.339,1.9490%,2.0510%,11,到期
1966,603013,亚普股份,2026-06-16,18.109,2026-06-23,16.822,-7.2024%,-7.1095%,4,止损
1967,603014,威高血净,2026-06-12,34.107,2026-06-18,37.501,9.8417%,9.9516%,4,止盈
