序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1723,300267,尔康制药,2026-01-15,4.252,2026-02-02,3.818,-10.2973%,-10.2075%,12,信号
1724,300269,联建光电,2023-11-02,5.093,2023-11-10,4.518,-11.3759%,-11.2872%,6,信号
1725,300269,联建光电,2025-06-20,5.443,2025-06-30,5.027,-7.7215%,-7.6292%,6,信号
1726,300277,汽轮科技,2023-11-10,9.575,2023-11-21,9.555,-0.3041%,-0.2043%,7,信号
1727,300277,汽轮科技,2025-09-05,14.889,2025-09-16,14.415,-3.2846%,-3.1878%,7,信号
1728,300290,ST荣科,2021-09-07,6.108,2021-09-17,6.362,4.0505%,4.1546%,8,信号
1729,300290,ST荣科,2023-10-20,5.788,2023-11-01,6.492,12.0488%,12.1609%,8,信号
1730,300293,蓝英装备,2023-02-06,11.116,2023-02-13,10.415,-6.3980%,-6.3044%,5,信号
1731,300293,蓝英装备,2025-07-02,27.134,2025-07-10,23.838,-12.2333%,-12.1454%,6,信号
1732,300295,ST三六,2021-12-09,11.286,2021-12-21,11.124,-1.5270%,-1.4284%,8,信号
1733,300299,富春股份,2025-06-12,8.514,2025-06-19,7.056,-17.2046%,-17.1217%,5,信号
1734,300300,海峡创新,2022-01-20,6.013,2022-01-26,5.427,-9.8311%,-9.7409%,4,信号
1735,300300,海峡创新,2023-09-15,4.882,2023-09-21,4.478,-8.3802%,-8.2885%,4,信号
1736,300303,聚飞光电,2023-04-07,5.667,2023-04-17,5.101,-10.0671%,-9.9771%,6,信号
1737,300307,慈星股份,2022-08-01,6.923,2022-08-04,6.287,-9.2857%,-9.1949%,3,信号
1738,300313,天山生物,2023-10-12,8.184,2023-10-27,11.904,45.3081%,45.4535%,11,信号
1739,300314,戴维医疗,2025-03-18,13.75,2025-03-25,12.577,-8.6236%,-8.5322%,5,信号
1740,300318,博晖创新,2024-03-29,5.603,2024-04-09,4.928,-12.1402%,-12.0523%,5,信号
1741,300318,博晖创新,2025-11-14,7.714,2025-11-21,6.747,-12.6263%,-12.5389%,5,信号
1742,300334,津膜科技,2023-03-13,8.024,2023-03-20,7.466,-7.0440%,-6.9510%,5,信号
1743,300336,新文退,2021-10-26,3.252,2021-11-10,3.728,14.5399%,14.6545%,11,信号
1744,300340,科恒股份,2023-12-08,13.557,2023-12-14,13.083,-3.5879%,-3.4914%,4,信号
1745,300340,科恒股份,2025-06-06,11.996,2025-06-19,15.502,29.0993%,29.2285%,9,信号
1746,300343,联创股份,2024-03-28,6.303,2024-04-12,6.617,4.8694%,4.9743%,9,信号
1747,300345,华民股份,2026-01-27,7.394,2026-02-02,6.657,-10.0583%,-9.9683%,4,信号
1748,300358,楚天科技,2025-10-30,11.486,2025-11-10,11.184,-2.7209%,-2.6236%,7,信号
1749,300360,炬华科技,2025-11-13,18.129,2025-11-19,16.462,-9.2876%,-9.1968%,4,信号
1750,300364,中文在线,2025-08-27,35.258,2025-09-02,29.885,-15.3228%,-15.2380%,4,信号
1751,300374,中铁装配,2022-09-14,11.966,2022-09-23,12.224,2.0532%,2.1553%,7,信号
1752,300375,鹏翎股份,2023-07-31,5.132,2023-08-07,4.407,-14.2096%,-14.1237%,5,信号
1753,300380,安硕信息,2022-11-17,17.729,2022-11-23,16.442,-7.3525%,-7.2598%,4,信号
1754,300387,富邦科技,2022-01-24,7.314,2022-01-26,6.457,-11.8045%,-11.7162%,2,信号
1755,300389,艾比森,2025-09-01,15.488,2025-09-19,15.722,1.4119%,1.5134%,14,信号
1756,300389,艾比森,2025-10-21,19.22,2025-10-24,17.191,-10.6422%,-10.5528%,3,信号
