序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
17046,300395,菲利华,2025-08-14,88.044,2025-08-18,98.96,12.2865%,12.3989%,2,止盈
17047,300396,ST迪瑞,2022-10-17,22.431,2022-10-25,21.949,-2.2475%,-2.1496%,6,到期
17048,300397,天和防务,2022-02-25,14.607,2022-03-02,16.202,10.8055%,10.9164%,3,止盈
17049,300397,天和防务,2022-08-03,12.726,2022-08-05,13.423,5.3708%,5.4762%,2,止盈
17050,300397,天和防务,2024-04-29,11.916,2024-05-06,11.064,-7.2386%,-7.1458%,2,止损
17051,300397,天和防务,2024-10-22,15.668,2024-10-25,14.293,-8.8670%,-8.7758%,3,止损
17052,300398,飞凯材料,2022-01-11,31.778,2022-01-13,27.018,-15.0621%,-14.9771%,2,止损
17053,300398,飞凯材料,2024-06-12,13.317,2024-06-20,13.803,3.5492%,3.6529%,6,到期
17054,300398,飞凯材料,2024-10-09,16.198,2024-10-11,14.603,-9.9394%,-9.8493%,2,止损
17055,300398,飞凯材料,2024-11-12,19.56,2024-11-15,17.511,-10.5627%,-10.4732%,3,止损
17056,300399,天利科技,2022-01-18,14.947,2022-01-20,13.913,-7.0135%,-6.9204%,2,止损
17057,300399,天利科技,2022-01-27,14.877,2022-02-09,16.732,12.3507%,12.4631%,4,止盈
17058,300399,天利科技,2023-03-13,14.507,2023-03-15,13.323,-8.2527%,-8.1609%,2,止损
17059,300399,天利科技,2023-08-10,17.259,2023-08-14,15.142,-12.3494%,-12.2617%,2,止损
17060,300399,天利科技,2024-08-01,11.316,2024-08-05,10.085,-10.9652%,-10.8761%,2,止损
17061,300399,天利科技,2024-08-16,11.446,2024-08-20,10.525,-8.1385%,-8.0465%,2,止损
17062,300399,天利科技,2024-09-02,11.506,2024-09-10,11.334,-1.5883%,-1.4899%,6,到期
17063,300399,天利科技,2024-09-30,17.499,2024-10-09,21.699,23.8800%,24.0040%,2,止盈
17064,300399,天利科技,2024-12-06,26.513,2024-12-10,33.883,27.6689%,27.7967%,2,止盈
17065,300399,天利科技,2025-05-15,25.413,2025-05-20,26.817,5.4188%,5.5243%,3,止盈
17066,300399,天利科技,2025-06-25,31.186,2025-06-27,40.97,31.2419%,31.3732%,2,止盈
17067,300399,天利科技,2026-01-07,32.006,2026-01-09,28.386,-11.3997%,-11.3110%,2,止损
17068,300400,劲拓股份,2024-08-26,13.267,2024-09-03,13.803,3.9397%,4.0437%,6,到期
17069,300400,劲拓股份,2024-10-09,18.179,2024-10-11,15.582,-14.3707%,-14.2850%,2,止损
17070,300401,花园生物,2026-06-23,21.441,2026-06-25,20.19,-5.9280%,-5.8338%,2,止损
17071,300402,宝色股份,2021-09-17,21.691,2021-09-23,33.943,56.3291%,56.4855%,2,止盈
17072,300402,宝色股份,2021-11-11,39.58,2021-11-15,36.502,-7.8690%,-7.7768%,2,止损
17073,300402,宝色股份,2023-12-12,21.091,2023-12-14,18.971,-10.1420%,-10.0520%,2,止损
17074,300402,宝色股份,2025-11-05,26.013,2025-11-13,24.438,-6.1495%,-6.0555%,6,到期
17075,300403,汉宇集团,2022-07-29,12.796,2022-08-02,10.925,-14.7134%,-14.6280%,2,止损
17076,300403,汉宇集团,2024-12-12,13.877,2024-12-17,12.064,-13.1515%,-13.0646%,3,止损
17077,300404,博济医药,2024-06-21,8.209,2024-07-01,7.891,-3.9705%,-3.8744%,6,到期
17078,300404,博济医药,2025-08-20,13.094,2025-08-22,11.461,-12.5538%,-12.4663%,2,止损
17079,300404,博济医药,2026-01-14,12.793,2026-01-16,11.261,-12.0631%,-11.9751%,2,止损
17080,300404,博济医药,2026-08-14,16.228,2026-08-17,17.6,8.3454%,8.4538%,1,区间结束平仓
17081,300405,科隆股份,2021-08-25,9.597,2021-08-30,8.627,-10.1986%,-10.1087%,3,止损
17082,300406,九强生物,2021-12-03,17.82,2021-12-07,14.774,-17.1778%,-17.0949%,2,止损
17083,300407,凯发电气,2024-05-07,9.511,2024-05-09,8.052,-15.4229%,-15.3382%,2,止损
17084,300407,凯发电气,2024-10-09,11.598,2024-10-11,12.516,7.8069%,7.9148%,2,止盈
17085,300409,道氏技术,2026-01-06,27.898,2026-01-08,31.238,11.8618%,11.9738%,2,止盈
17086,300409,道氏技术,2026-01-13,36.772,2026-01-15,32.398,-11.9845%,-11.8964%,2,止损
17087,300410,正业科技,2022-08-12,11.526,2022-08-18,10.745,-6.8705%,-6.7773%,4,止损
17088,300410,正业科技,2023-07-21,10.125,2023-07-26,9.515,-6.1168%,-6.0229%,3,止损
17089,300410,正业科技,2024-05-24,7.064,2024-05-31,6.297,-10.9432%,-10.8541%,5,止损
17090,300410,正业科技,2024-08-16,5.513,2024-08-20,5.157,-6.5392%,-6.4457%,2,止损
17091,300410,正业科技,2025-06-23,7.514,2025-06-25,7.756,3.1224%,3.2256%,2,止盈
17092,300410,正业科技,2025-09-05,10.525,2025-09-11,9.775,-7.2200%,-7.1271%,4,止损
17093,300411,金盾股份,2022-04-20,7.274,2022-04-27,6.647,-8.7110%,-8.6196%,5,止损
17094,300411,金盾股份,2024-03-06,6.403,2024-03-08,8.146,27.0893%,27.2165%,2,止盈
17095,300411,金盾股份,2024-03-13,9.825,2024-03-15,9.575,-2.6389%,-2.5415%,2,止损
17096,300411,金盾股份,2024-03-29,15.278,2024-04-08,12.914,-15.5587%,-15.4742%,4,止损
17097,300411,金盾股份,2024-04-18,13.027,2024-04-22,15.352,17.7366%,17.8544%,2,止盈
17098,300411,金盾股份,2024-10-22,16.998,2024-10-29,18.181,6.8490%,6.9560%,5,止盈
17099,300411,金盾股份,2025-07-23,16.868,2025-07-25,14.763,-12.5713%,-12.4838%,2,止损
17100,300411,金盾股份,2026-06-10,9.905,2026-06-22,8.406,-15.2203%,-15.1354%,2,止损
17101,300412,迦南科技,2021-11-30,6.55,2021-12-02,8.243,25.7144%,25.8402%,2,止盈
17102,300412,迦南科技,2021-12-29,10.469,2021-12-31,15.133,44.4070%,44.5515%,2,止盈
17103,300412,迦南科技,2022-01-17,13.524,2022-01-19,10.812,-20.1348%,-20.0548%,2,止损
17104,300412,迦南科技,2024-12-03,5.785,2024-12-05,5.239,-9.5205%,-9.4299%,2,止损
17105,300414,中光防雷,2023-08-30,11.965,2023-09-01,11.203,-6.4587%,-6.3651%,2,止损
17106,300414,中光防雷,2025-06-27,11.02,2025-07-01,15.656,41.9348%,42.0768%,2,止盈
17107,300414,中光防雷,2025-12-24,15.382,2026-01-05,15.216,-1.1735%,-1.0746%,6,到期
17108,300415,伊之密,2022-06-13,17.186,2022-06-15,16.219,-5.7194%,-5.6251%,2,止损
17109,300417,南华仪器,2023-08-03,12.606,2023-08-10,11.844,-6.1403%,-6.0464%,5,止损
17110,300417,南华仪器,2024-04-18,6.853,2024-04-22,6.397,-6.7560%,-6.6627%,2,止损
17111,300417,南华仪器,2024-06-06,7.854,2024-06-11,7.036,-10.4977%,-10.4081%,2,止损
17112,300417,南华仪器,2024-07-08,8.824,2024-07-16,8.466,-4.1601%,-4.0642%,6,到期
17113,300417,南华仪器,2024-10-30,14.737,2024-11-04,12.034,-18.4254%,-18.3437%,3,止损
17114,300418,昆仑万维,2023-03-27,39.971,2023-03-30,37.082,-7.3193%,-7.2266%,3,止损
17115,300418,昆仑万维,2023-05-04,66.244,2023-05-10,61.43,-7.3595%,-7.2668%,4,止损
17116,300418,昆仑万维,2023-09-25,36.269,2023-10-11,36.673,1.0115%,1.1126%,6,到期
