代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
600255,鑫科材料,2021-12-28,2.551,2022-01-12,2.799,195900,47926.95,9.5845%,10,信号
600540,新赛股份,2021-12-28,6.683,2021-12-31,6.087,74800,-45087.21,-9.0145%,3,信号
300086,康芝药业,2021-12-29,6.613,2022-01-10,7.276,75600,49601.93,9.9161%,7,信号
300254,仟源医药,2021-12-29,7.864,2022-01-06,8.006,63500,8517.26,1.7048%,5,信号
300075,数字政通,2021-12-30,14.187,2022-01-12,14.531,35200,11590.73,2.3198%,8,信号
601236,红塔证券,2021-12-30,11.216,2022-01-11,11.004,40500,-8999.91,-1.9804%,7,信号
600343,航天动力,2021-12-31,14.007,2022-01-11,12.384,35600,-58255.5,-11.6768%,6,信号
605108,同庆楼,2021-12-31,17.246,2022-01-19,20.667,28800,97980.1,19.7174%,12,信号
600206,有研新材,2022-01-04,15.864,2022-01-06,14.619,31500,-39705.19,-7.9416%,2,信号
000719,中原传媒,2022-01-06,6.123,2022-01-19,6.477,81600,28347.85,5.6708%,9,信号
000955,欣龙控股,2022-01-06,5.503,2022-01-14,5.327,90800,-16419.37,-3.2845%,6,信号
600313,农发种业,2022-01-06,5.694,2022-01-10,5.348,87800,-30821.5,-6.1622%,2,信号
000004,国华退,2022-01-07,21.931,2022-01-21,21.189,22700,-17322.83,-3.4779%,10,信号
002481,双塔食品,2022-01-07,10.125,2022-01-19,9.525,49300,-30055.75,-6.0182%,8,信号
600651,飞乐音响,2022-01-10,3.352,2022-01-20,3.358,149100,490.54,0.0981%,8,信号
603200,上海洗霸,2022-01-10,16.693,2022-01-14,16.271,29900,-13125.03,-2.6283%,4,信号
605507,国邦医药,2022-01-10,20.505,2022-01-14,19.413,24300,-27019.61,-5.4199%,4,信号
002217,ST合力泰,2022-01-11,4.142,2022-01-21,3.748,120700,-48025.33,-9.6013%,8,信号
002932,ST明德,2022-01-11,35.788,2022-01-20,35.374,13900,-6243.35,-1.2544%,7,信号
300461,田中精机,2022-01-11,21.521,2022-01-20,21.969,22600,9639.13,1.9809%,7,信号
603856,东宏股份,2022-01-11,14.333,2022-01-26,13.889,34800,-15946.13,-3.1953%,11,信号
300942,易瑞生物,2022-01-12,34.615,2022-01-20,33.251,14400,-20129.28,-4.0363%,6,信号
600168,武汉控股,2022-01-12,5.147,2022-01-17,4.835,97100,-30778.86,-6.1560%,3,信号
600823,ST世茂,2022-01-12,3.572,2022-01-17,3.428,139900,-20565.3,-4.1135%,3,信号
603602,纵横通信,2022-01-13,11.576,2022-01-26,11.404,43100,-7886.44,-1.5799%,9,信号
002589,瑞康医药,2022-01-14,4.557,2022-01-20,4.273,109700,-31684.66,-6.3346%,4,信号
605287,德才股份,2022-01-14,22.856,2022-01-24,21.713,21800,-25409.41,-5.0970%,6,信号
605338,巴比食品,2022-01-14,35.268,2022-01-24,31.984,14100,-46773.24,-9.4012%,6,信号
002224,三力士,2022-01-17,5.56,2022-01-21,5.234,89900,-29738.39,-5.9468%,4,信号
605188,国光连锁,2022-01-17,8.919,2022-01-24,8.321,56000,-34005.45,-6.8046%,5,信号
002400,省广集团,2022-01-19,5.226,2022-01-21,5.1,95600,-12459.17,-2.4927%,2,信号
300047,天源迪科,2022-01-19,11.881,2022-01-27,10.16,42000,-72745.7,-14.5710%,6,信号
300166,东方国信,2022-01-19,12.816,2022-01-28,10.885,39000,-75804.32,-15.1581%,7,信号
300579,数字认证,2022-01-19,32.551,2022-01-26,31.072,15300,-23112.54,-4.6384%,5,信号
600410,华胜天成,2022-01-19,7.436,2022-01-26,7.378,67200,-4355.5,-0.8712%,5,信号
300300,海峡创新,2022-01-20,6.013,2022-01-26,5.427,83100,-49148.68,-9.8311%,4,信号
000909,ST数源,2022-01-21,7.554,2022-01-25,7.626,66100,4284.6,0.8577%,2,信号
002419,天虹股份,2022-01-21,8.065,2022-01-27,6.338,61900,-107359.51,-21.4945%,4,信号
600180,ST瑞茂,2022-01-21,7.047,2022-01-25,6.32,70900,-51995.66,-10.4023%,2,信号
600883,博闻科技,2022-01-21,8.584,2022-01-25,8.486,58200,-6231.48,-1.2467%,2,信号
603958,哈森股份,2022-01-21,8.004,2022-01-26,6.957,62400,-65829.52,-13.1738%,3,信号
000426,兴业银锡,2022-01-24,8.342,2022-01-26,7.574,59900,-46477.38,-9.2965%,2,信号
300387,富邦科技,2022-01-24,7.314,2022-01-26,6.457,68300,-58995.51,-11.8045%,2,信号
605086,龙高股份,2022-01-24,16.514,2022-01-26,14.049,30200,-74912.99,-15.0132%,2,信号
000701,厦门信达,2022-01-25,6.093,2022-01-28,5.077,82000,-83735.96,-16.7512%,3,信号
000038,大通退,2022-01-26,8.494,2022-02-15,9.635,58800,66553.97,13.3185%,9,信号
000048,京基智农,2022-01-26,16.572,2022-02-22,18.405,30100,54632.18,10.9467%,14,信号
603839,安正时尚,2022-01-26,7.911,2022-01-28,7.663,63200,-16152.28,-3.2290%,2,信号
002155,湖南黄金,2022-01-27,8.035,2022-02-07,7.219,62200,-51206.41,-10.2407%,2,信号
600012,皖通高速,2022-02-09,5.548,2022-02-18,5.072,90100,-43303.87,-8.6590%,7,信号
600814,杭州解百,2022-02-16,6.857,2022-02-23,6.611,72900,-18477.82,-3.6944%,5,信号
603388,ST元成,2022-02-18,8.504,2022-02-25,8.856,58700,20112.97,4.0270%,5,信号
002887,绿茵生态,2022-02-21,9.497,2022-02-25,8.918,52600,-30950.58,-6.1929%,4,信号
002075,沙钢股份,2022-02-22,6.724,2022-02-25,6.028,74300,-52214.49,-10.4456%,3,信号
605122,四方新材,2022-02-22,24.219,2022-03-01,23.125,20600,-23017.29,-4.6112%,5,信号
605100,华丰股份,2022-02-23,12.7,2022-03-04,12.729,39300,611.94,0.1225%,7,信号
000595,新能股份,2022-02-24,3.602,2022-03-08,3.548,138800,-7932.42,-1.5859%,8,信号
600824,益民集团,2022-02-24,5.006,2022-03-01,4.141,99800,-86740.79,-17.3551%,3,信号
603353,和顺石油,2022-02-24,23.123,2022-03-07,23.499,21600,7632.97,1.5275%,7,信号
603393,新天然气,2022-02-24,25.957,2022-03-08,24.392,19200,-30534.69,-6.1238%,8,信号
605169,洪通燃气,2022-02-24,11.973,2022-03-08,11.527,41700,-19077.75,-3.8192%,8,信号
002381,双箭股份,2022-02-25,7.434,2022-03-07,7.166,67200,-18453.12,-3.6921%,6,信号
002842,翔鹭钨业,2022-02-25,9.967,2022-03-07,9.787,50100,-9506.68,-1.9029%,6,信号
300666,江丰电子,2022-02-25,61.82,2022-03-04,54.012,8000,-62926.64,-12.7174%,5,信号
603628,清源股份,2022-02-25,12.888,2022-03-08,12.356,38700,-21100.95,-4.2284%,7,信号
000017,深中华A,2022-02-28,3.732,2022-03-04,3.648,133900,-11700.18,-2.3403%,4,信号
000679,大连友谊,2022-03-01,4.302,2022-03-07,4.258,116200,-5642.67,-1.1282%,4,信号
002388,新亚制程,2022-03-01,5.663,2022-03-07,5.607,88200,-5404.02,-1.0814%,4,信号
002800,天顺股份,2022-03-01,13.248,2022-03-16,13.962,37700,26419.79,5.2873%,11,信号
601008,连云港,2022-03-01,3.892,2022-03-09,3.848,128400,-6129.82,-1.2260%,6,信号
601700,风范股份,2022-03-01,5.514,2022-03-08,5.358,90600,-14575.01,-2.9162%,5,信号
000617,中油资本,2022-03-02,4.817,2022-03-09,4.673,103700,-15502.12,-3.1016%,5,信号
002437,誉衡药业,2022-03-02,2.961,2022-03-16,2.989,168800,4059.64,0.8117%,10,信号
600697,欧亚集团,2022-03-02,12.906,2022-03-09,11.894,38700,-39659.77,-7.9362%,5,信号
002204,大连重工,2022-03-03,4.004,2022-03-10,3.87,124800,-17206.68,-3.4417%,5,信号
000911,ST广糖,2022-03-04,10.225,2022-03-16,9.325,48800,-44386.05,-8.8908%,8,信号
002333,罗普斯金,2022-03-04,5.768,2022-03-16,5.822,86600,4192.31,0.8389%,8,信号
300807,天迈科技,2022-03-04,28.974,2022-03-16,28.506,17200,-8556.66,-1.7161%,8,信号
603700,宁水集团,2022-03-04,20.012,2022-03-09,16.904,24900,-77860.18,-15.6174%,3,信号
000088,盐田港,2022-03-07,5.151,2022-03-09,4.876,97000,-27162.53,-5.4341%,2,信号
001202,炬申股份,2022-03-07,14.658,2022-03-10,13.129,34100,-52609.05,-10.5197%,3,信号
301063,海锅股份,2022-03-07,39.402,2022-03-14,37.323,12600,-26670.73,-5.3695%,5,信号
603360,百傲化学,2022-03-07,3.588,2022-03-09,3.492,139300,-13801.85,-2.7602%,2,信号
603967,中创物流,2022-03-07,8.073,2022-03-09,7.35,61900,-45213.19,-9.0432%,2,信号
000881,中广核技,2022-03-08,9.41,2022-03-14,9.13,53100,-15321.48,-3.0649%,4,信号
000950,重药控股,2022-03-08,5.999,2022-03-15,5.033,83300,-80886.99,-16.1785%,5,信号
603368,柳药集团,2022-03-08,15.626,2022-03-10,14.361,31900,-40831.56,-8.1874%,2,信号
002678,珠江钢琴,2022-03-09,6.54,2022-03-11,6.144,76400,-30765.07,-6.1539%,2,信号
002730,电光科技,2022-03-09,10.025,2022-03-24,10.275,49800,11937.06,2.3898%,11,信号
001212,中旗新材,2022-03-10,19.091,2022-03-14,17.876,26100,-32180.42,-6.4553%,2,信号
