序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
2055,600523,贵航股份,2023-12-04,15.31,2023-12-06,14.855,-3.0695%,-2.9725%,2,信号
2056,600523,贵航股份,2024-10-10,11.72,2024-10-14,11.468,-2.2446%,-2.1467%,2,信号
2057,600525,ST长园,2022-07-01,5.193,2022-07-06,5.157,-0.7767%,-0.6774%,3,信号
2058,600525,ST长园,2023-10-25,5.483,2023-11-01,5.467,-0.3819%,-0.2822%,5,信号
2059,600525,ST长园,2024-08-22,3.832,2024-11-04,5.727,49.3094%,49.4588%,45,信号
2060,600530,ST交昂,2026-05-18,7.184,2026-05-22,6.847,-4.7867%,-4.6915%,4,信号
2061,600531,豫光金铅,2023-08-04,6.513,2023-08-14,6.587,1.0266%,1.1277%,6,信号
2062,600533,栖霞建设,2021-12-24,3.042,2021-12-28,2.909,-4.4676%,-4.3720%,2,信号
2063,600536,中国软件,2025-10-16,53.006,2025-10-21,50.575,-4.6831%,-4.5877%,3,信号
2064,600536,中国软件,2026-05-13,41.211,2026-05-18,39.66,-3.8584%,-3.7622%,3,信号
2065,600537,ST亿晶,2022-03-15,4.502,2022-03-22,4.378,-2.8612%,-2.7640%,5,信号
2066,600537,ST亿晶,2025-07-08,3.342,2025-07-16,3.558,6.3738%,6.4803%,6,信号
2067,600539,狮头股份,2021-12-17,8.354,2021-12-23,7.996,-4.3831%,-4.2874%,4,信号
2068,600539,狮头股份,2026-01-27,11.266,2026-01-29,10.935,-3.0361%,-2.9390%,2,信号
2069,600540,新赛股份,2021-10-13,6.703,2021-10-15,6.197,-7.6476%,-7.5552%,2,信号
2070,600540,新赛股份,2023-09-06,6.043,2023-09-08,5.467,-9.6181%,-9.5276%,2,信号
2071,600540,新赛股份,2024-12-10,4.752,2024-12-16,4.658,-2.0908%,-1.9928%,4,信号
2072,600543,ST莫高,2022-12-12,6.303,2022-12-20,6.267,-0.6751%,-0.5757%,6,信号
2073,600545,卓郎智能,2025-07-14,2.491,2025-07-16,2.329,-6.6127%,-6.5192%,2,信号
2074,600546,山煤国际,2025-07-30,9.7,2025-08-01,9.23,-4.9351%,-4.8399%,2,信号
2075,600550,保变电气,2023-11-30,4.862,2023-12-06,4.728,-2.8694%,-2.7722%,4,信号
2076,600550,保变电气,2025-05-23,8.734,2025-06-03,8.746,0.0288%,0.1289%,6,信号
2077,600551,时代出版,2025-06-10,8.584,2025-06-12,8.216,-4.3872%,-4.2916%,2,信号
2078,600551,时代出版,2025-10-29,8.934,2025-10-31,8.636,-3.4408%,-3.3442%,2,信号
2079,600552,凯盛科技,2026-01-06,12.086,2026-01-21,14.053,16.1582%,16.2744%,11,信号
2080,600556,天下秀,2021-11-15,13.318,2021-11-17,12.245,-8.1473%,-8.0553%,2,信号
