买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2022-09-14,002805,丰元股份,0.7082%,0.9090%,-7.7019%,2.6047%,718370742
2022-09-15,000671,ST阳光城,-1.5030%,-1.3043%,-6.2808%,-0.4348%,734777778
2022-09-16,300379,东通退,-0.2975%,-0.0976%,2.5304%,3.2211%,575530690
2022-09-19,603069,海汽集团,-1.0095%,-0.8103%,4.9882%,10.0184%,478941660
2022-09-20,002077,大港股份,-1.4899%,-1.2912%,5.3899%,7.4605%,786505269
2022-09-21,002568,百润股份,-1.7334%,-1.5349%,-4.6036%,-0.3149%,1093050118
2022-09-22,000620,盈新发展,-3.7497%,-3.5533%,-0.2000%,6.0914%,1334132083
2022-09-23,300339,润和软件,-1.8502%,-1.6519%,-6.1958%,-0.5506%,754084995
2022-09-26,000821,ST京机,0.7995%,1.0005%,-0.9890%,1.3691%,1037767973
2022-09-27,603069,海汽集团,-1.8415%,-1.6432%,-4.4546%,1.7103%,844253227
2022-09-28,002432,九安医疗,-0.6669%,-0.4675%,-2.6824%,1.2302%,1195880699
2022-09-29,002489,浙江永强,-2.6666%,-2.4691%,-7.6000%,-2.4691%,752576269
2022-09-30,000736,中交发展,0.9234%,1.1244%,0.8485%,4.7976%,814843902
2022-10-10,600230,沧州大化,-0.0022%,0.1980%,10.0343%,10.2445%,712722743
2022-10-12,000821,ST京机,-0.4154%,-0.2156%,-2.6771%,0.7547%,839664085
2022-10-13,300339,润和软件,-0.4820%,-0.2823%,0.4769%,2.7666%,1073263430
2022-10-14,000034,神州数码,-1.8538%,-1.6555%,-0.9078%,4.3044%,890921649
2022-10-17,002212,天融信,-1.0246%,-0.8255%,0.1666%,2.1095%,635606087
2022-10-18,002585,双星新材,-0.1360%,0.0640%,-1.5430%,2.4966%,734378423
2022-10-19,002101,广东鸿图,-2.0260%,-1.8278%,-10.5615%,-1.7853%,1045334707
2022-10-20,002047,宝鹰股份,-0.7922%,-0.5929%,-0.7922%,1.1858%,583180385
2022-10-21,000049,德赛电池,-0.2000%,0.0000%,2.6788%,4.1986%,999216179
2022-10-24,601890,亚星锚链,-0.0907%,0.1093%,1.2202%,3.2805%,749845987
2022-10-25,002707,众信旅游,-1.1579%,-0.9589%,-1.4316%,3.5616%,444866565
2022-10-26,603396,金辰股份,1.8959%,2.0980%,4.7463%,8.3919%,1010839614
